"Class","Distress_mean","Upset_mean","Inspired_mean","Nervous_mean","Determined_mean","Scared_Afraid_mean","Excited_Enthusiast_mean","Alert_mean"
1,1.33201357466063,1.18325791855204,2.63574660633484,1.44827586206897,2.8710407239819,1.09299039005088,2.7832108535896,2.6975692481628
2,2.63333333333333,2.41008563273073,2.55449330783939,2.70218839200761,2.76453765490944,2.42782526115859,2.6069391634981,2.7647619047619
3,4.03827751196172,4.05263157894737,1.67464114832536,3.86602870813397,2.05288461538462,3.56459330143541,1.70574162679426,2.76555023923445
4,1.48871287128713,1.28808864265928,1.27524752475248,1.46178217821782,1.5180055401662,1.10403481012658,1.46774831816383,1.92121931908155
5,3.52112676056338,3.57042253521127,1.28235294117647,2.03990610328638,1.62676056338028,1.28051643192488,1.36032863849765,2.34037558685446
6,1.34395973154362,1.20134228187919,4.27684563758389,1.44295302013423,4.15939597315436,1.17030201342282,4.2256711409396,3.65436241610738
